Set Number,Card Number,Variant,Count
009,041,normal,2
009,011,normal,2
009,082,normal,2
009,127,normal,2
009,203,normal,2
009,148,normal,3
009,090,normal,2
009,132,normal,2
009,187,normal,2
009,063,normal,2
009,021,normal,2
009,080,normal,2
009,114,normal,2
009,196,normal,2
009,147,normal,2
009,055,normal,2
009,176,normal,2
009,156,normal,1
009,039,normal,2
009,031,normal,2
009,081,normal,2
009,109,normal,2
009,189,normal,1
009,144,normal,1
009,059,normal,1
009,199,normal,1
009,170,normal,1
009,049,normal,2
009,016,normal,2
009,079,normal,2
009,116,normal,2
009,179,normal,2
009,140,normal,2
009,052,normal,1
009,198,normal,1
009,164,normal,2
009,083,normal,2
009,200,normal,3
009,163,normal,2
009,094,normal,2
009,113,normal,1
009,193,normal,1
009,050,normal,2
009,034,normal,2
009,092,normal,2
009,112,normal,2
009,194,normal,2
009,146,normal,2
009,078,normal,1
009,030,normal,1
009,122,normal,1
009,075,normal,1
009,171,normal,1
009,097,foil,1
009,068,normal,2
009,027,normal,2
009,096,normal,2
009,123,normal,2
009,191,normal,2
009,155,normal,2
009,057,normal,1
009,204,normal,2
009,149,normal,1
009,047,normal,2
009,007,normal,2
009,098,normal,2
009,182,normal,3
009,023,normal,1
009,062,normal,1
009,167,normal,1
009,121,normal,1
009,159,normal,1
009,169,foil,1
009,138,normal,1
009,061,normal,2
009,008,normal,2
009,084,normal,2
009,128,normal,1
009,183,normal,2
009,169,normal,2
009,099,normal,1
009,029,normal,1
009,134,normal,2
009,002,normal,1
009,048,foil,1
009,022,normal,2
009,124,normal,2
009,165,normal,2
009,018,normal,2
009,046,normal,2
009,139,normal,2
009,037,normal,1
009,142,normal,1
009,067,normal,2
009,010,normal,2
009,136,normal,3
009,158,normal,2
009,119,normal,2
009,186,normal,2
009,071,normal,1
009,197,normal,1
009,115,foil,1
009,085,normal,1
009,013,normal,1
009,201,normal,1
009,033,normal,1
009,088,foil,1
009,051,normal,2
009,028,normal,2
009,102,normal,2
009,131,normal,2
009,185,normal,1
009,056,normal,1
009,202,normal,1
009,161,normal,2
009,087,normal,1
009,026,normal,1
009,126,foil,1
009,006,normal,1
009,053,normal,1
009,166,normal,1
009,073,normal,1
009,126,normal,1
009,180,foil,1
009,058,normal,2
009,009,normal,2
009,088,normal,2
009,125,normal,2
009,180,normal,2
009,154,normal,2
009,093,normal,1
009,017,normal,1
009,103,normal,1
009,025,normal,1
009,100,normal,1
009,127,foil,1
009,115,normal,2
009,145,normal,2
009,120,normal,1
009,184,normal,1
009,117,normal,1
009,032,normal,1
009,068,foil,1
009,095,normal,2
009,181,normal,2
009,086,normal,1
009,012,normal,2
009,133,normal,2
009,105,normal,1
009,141,normal,1
009,031,foil,1
009,157,normal,1
009,168,normal,1
009,130,normal,1
009,167,foil,1
009,101,normal,2
009,129,normal,1
009,019,normal,1
009,014,normal,1
009,104,normal,1
009,066,foil,1
009,091,normal,1
009,160,normal,1
009,175,normal,1
009,114,foil,1
009,060,normal,1
009,003,normal,1
009,195,foil,1
009,072,normal,1
009,150,normal,1
009,085,foil,1
009,048,normal,1
009,001,normal,1
009,172,normal,1
009,158,foil,1
009,065,normal,1
009,118,normal,1
009,137,normal,1
009,038,normal,1
009,029,foil,1
009,005,normal,1
009,007,foil,1
009,020,normal,1
009,054,normal,1
009,110,normal,1
009,096,foil,1
009,056,foil,1
009,111,normal,1
009,162,normal,1
009,185,foil,1
009,151,normal,1
009,036,normal,1
009,178,normal,1
009,069,normal,1
009,198,foil,1
