Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price,Title,SubTitle
13,0,Ariel*On Human Legs,1,1,Amber,Uncommon,$0.07,$0.43,Ariel,On Human Legs
6,1,Ariel*Spectacular Singer,1,2,Amber,Super Rare,$3.06,$17.81,Ariel,Spectacular Singer
14,0,Cinderella*Gentle and Kind,1,3,Amber,Uncommon,$0.10,$0.35,Cinderella,Gentle and Kind
10,0,Goofy*Musketeer,1,4,Amber,Uncommon,$0.12,$0.38,Goofy,Musketeer
6,0,Hades*King of Olympus,1,5,Amber,Rare,$0.23,$0.72,Hades,King of Olympus
9,1,Hades*Lord of the Underworld,1,6,Amber,Rare,$0.12,$1.87,Hades,Lord of the Underworld
20,1,HeiHei*Boat Snack,1,7,Amber,Common,$0.09,$0.28,HeiHei,Boat Snack
10,1,LeFou*Bumbler,1,8,Amber,Uncommon,$0.09,$0.37,LeFou,Bumbler
6,1,Lilo*Making a Wish,1,9,Amber,Rare,$3.69,$6.09,Lilo,Making a Wish
10,1,Maximus*Palace Horse,1,10,Amber,Super Rare,$0.32,$1.25,Maximus,Palace Horse
12,1,Maximus*Relentless Pursuer,1,11,Amber,Uncommon,$0.05,$0.38,Maximus,Relentless Pursuer
12,1,Mickey Mouse*True Friend,1,12,Amber,Uncommon,$0.07,$0.67,Mickey Mouse,True Friend
20,1,Minnie Mouse*Beloved Princess,1,13,Amber,Common,$0.06,$0.25,Minnie Mouse,Beloved Princess
4,3,Moana*Of Motunui,1,14,Amber,Rare,$0.28,$0.28,Moana,Of Motunui
12,0,Mr. Smee*Loyal First Mate,1,15,Amber,Common,$0.07,$0.22,Mr. Smee,Loyal First Mate
9,0,Prince Phillip*Dragonslayer,1,16,Amber,Uncommon,$0.11,$0.38,Prince Phillip,Dragonslayer
12,2,Pumbaa*Friendly Warthog,1,17,Amber,Common,$0.06,$0.24,Pumbaa,Friendly Warthog
4,1,Rapunzel*Gifted with Healing,1,18,Amber,Legendary,$49.81,$76.59,Rapunzel,Gifted with Healing
14,1,Sebastian*Court Composer,1,19,Amber,Common,$0.07,$0.23,Sebastian,Court Composer
11,0,Simba*Protective Cub,1,20,Amber,Common,$0.22,$1.09,Simba,Protective Cub
4,0,Stitch*Carefree Surfer,1,21,Amber,Legendary,$6.15,$26.91,Stitch,Carefree Surfer
20,0,Stitch*New Dog,1,22,Amber,Common,$0.08,$0.51,Stitch,New Dog
5,0,Stitch*Rock Star,1,23,Amber,Super Rare,$0.76,$4.81,Stitch,Rock Star
13,2,Timon*Grub Rustler,1,24,Amber,Common,$0.07,$0.27,Timon,Grub Rustler
11,1,Be Our Guest,1,25,Amber,Uncommon,$0.14,$0.79,Be Our Guest,
16,1,Control Your Temper!,1,26,Amber,Common,$0.07,$0.21,Control Your Temper!,
16,1,Hakuna Matata,1,27,Amber,Common,$0.07,$0.29,Hakuna Matata,
11,1,Healing Glow,1,28,Amber,Common,$0.09,$0.25,Healing Glow,
6,0,Just in Time,1,29,Amber,Rare,$0.45,$2.58,Just in Time,
6,0,Part of Your World,1,30,Amber,Rare,$0.18,$1.59,Part of Your World,
6,1,You Have Forgotten Me,1,31,Amber,Uncommon,$0.20,$2.00,You Have Forgotten Me,
21,2,Dinglehopper,1,32,Amber,Common,$0.04,$0.21,Dinglehopper,
8,0,Lantern,1,33,Amber,Rare,$0.43,$2.25,Lantern,
6,1,Ursula's Shell Necklace,1,34,Amber,Rare,$0.20,$0.82,Ursula's Shell Necklace,
10,1,Anna*Heir to Arendelle,1,35,Amethyst,Uncommon,$0.15,$0.49,Anna,Heir to Arendelle
18,1,Archimedes*Highly Educated Owl,1,36,Amethyst,Common,$0.08,$0.31,Archimedes,Highly Educated Owl
6,0,Dr. Facilier*Agent Provocateur,1,37,Amethyst,Rare,$0.19,$1.06,Dr. Facilier,Agent Provocateur
17,2,Dr. Facilier*Charlatan,1,38,Amethyst,Common,$0.14,$0.26,Dr. Facilier,Charlatan
6,0,Dr. Facilier*Remarkable Gentleman,1,39,Amethyst,Rare,$0.17,$0.84,Dr. Facilier,Remarkable Gentleman
18,0,Elsa*Queen Regent,1,40,Amethyst,Common,$0.10,$0.30,Elsa,Queen Regent
10,0,Elsa*Snow Queen,1,41,Amethyst,Uncommon,$0.18,$1.20,Elsa,Snow Queen
4,1,Elsa*Spirit of Winter,1,42,Amethyst,Legendary,$16.71,$48.83,Elsa,Spirit of Winter
7,0,Flotsam*Ursula's Spy,1,43,Amethyst,Rare,$0.17,$0.87,Flotsam,Ursula's Spy
